RR_FLR_SMBR_W2,RR_SMBR_RR_W1,RR_SMBR_RR_T1,R_SUPT_T2,FR_SMBR_T1,RR_SMBR_FR_T2,R_SUPT_W2,FR_SMBR_T2,RR_FLR_SMBR_W1,ROOF_XMBR_NO2_T1,SSILL_T1,RR_SMBR_RR_W2,FR_SMBR_W2,FR_SMBR_W1,RR_FLR_SMBR_T1,BPOST_04_W1,RR_SMBR_FR_W2,FREQ
81.117091,84.146019,3.3465085,2.1527582,3.8540885,5.1410974,55.488767,1.3343583,92.698357,1.3931878,1.9700225,40.955108,113.08671,56.769374,1.3083486,171.80225,76.342954,55.75558
50.107121,98.730515,3.9066184,1.5875329,2.8898331,5.5728868,55.933421,1.4826429,101.45213,1.378961,2.100534,42.764341,86.02366,58.227061,1.2097808,185.38531,81.50248,54.98534
68.702611,66.987285,3.2691406,1.6797432,3.0126783,3.7956148,59.003589,1.5584505,127.07244,1.200259,1.5600718,40.686939,110.48375,77.351421,1.3194336,202.6497,78.655878,55.8279
57.630233,94.639659,2.8791887,1.8325912,2.7037937,5.3954315,63.183826,1.8074403,110.49361,1.03161,2.4052538,44.539867,134.21075,47.556055,1.2368873,145.98092,94.795102,55.29168
78.515701,94.814799,3.7607552,2.2397267,3.2665309,5.4836369,81.798492,1.8646292,86.217014,0.843425,1.6889649,64.354888,89.050514,46.009357,1.4875404,156.748,69.105898,55.47424
55.017374,84.760858,4.0122226,2.1107566,4.0647916,5.4261745,73.407668,1.9265928,102.90174,0.9481792,2.3127228,65.304786,126.71683,67.454254,1.0800161,167.32472,76.002505,54.24679
81.827408,65.614644,3.2462081,1.9247051,3.231867,4.9429596,56.074995,1.1730623,80.475376,1.3641675,1.5985035,56.145521,87.003361,48.525679,1.6705267,176.32459,87.887259,55.77946
50.773407,86.443611,2.5168878,1.6559866,2.7950726,5.5563382,78.320383,1.4174351,90.416129,1.1710959,2.1807188,43.952344,139.95976,45.911669,1.7984271,177.45082,70.308584,55.3138
47.622676,98.811161,3.8292389,1.9191754,2.9813807,5.5751223,77.769261,1.3421407,96.008498,0.9711835,1.6575626,70.330346,123.87876,72.75799,1.4391077,206.5663,66.895995,55.15054
65.514454,90.476962,2.2579123,1.6270969,4.4343416,5.0762982,72.370048,1.7902186,113.72035,1.1788089,2.4590376,57.271629,113.79986,45.558965,1.2788024,121.80033,73.074884,55.8919
51.096127,66.965625,2.2728225,2.3638011,2.6839242,5.1429294,63.90649,1.4565604,105.68678,1.521413,1.724584,49.412073,146.80879,45.084531,1.7502965,153.3649,66.131214,55.29213
67.51715,65.499017,2.9669697,1.9423686,3.4327699,5.5442302,86.207145,1.7167459,129.32978,1.5457635,1.8116398,45.348002,137.69544,75.58627,1.2026721,188.85661,70.396719,55.08854
51.911629,61.451946,2.6249317,1.7192107,2.8624148,4.6238263,65.261218,1.1558405,83.702118,1.5113663,1.6522874,68.877284,138.59247,46.528589,1.7124418,152.144,66.167041,55.32017
75.415118,102.98266,2.919289,2.0057595,3.2589676,5.754813,92.354696,1.776841,81.523385,0.910757,2.0498714,62.520826,113.54676,61.959924,1.6413282,167.55168,83.396888,55.5904
